COMP1111 More Computing  Sorted on student ID                                                            18 May 92  10:34:12  Page 1
------------------------------------------------------------------------------------------------------------------------------------
Regno   Crse/Prog S ES   Tutgroup L      lab4      h2        p1        mid       final
                                       tutass    h1        lab7      f1        lab10     
                                    3    5    3   20   20    3   20   20   45    3   100 
-----------------------------------------------------------------------------------------
0278097 3970/1060 1 F    T7-ko      3    5    2.5 18   19.5  3   19   18   36    2.4 82  
0278101 3420      1 F    T4-ko      3    4    3   19   19.5  3    8.5 10   32    2.4 70  
0278104 3400      1 F    T6-no      3    3    2   19    .    .    .    .   11.5  .   20  
0278666 3400      2 F    T3-ku      2    3    3   19   18    2   19   14   20    2.4 71  
0278985 3640      2 F    T3-ku      2    2    2    8    .    .    1    .   13.5  .   38  
0279049 3970/1000 2 F    T3-ku      2.5  4    2.5 20   13    2.5 17   15   28    2.4 77  
0285287 5452      1 F    T10-yh     3    4.5  2.5 18.5 19    2.5 20   20   38.3  2.5 88  
0480001 3420      1 F    T1-yh      2    4    3   18.5  .    2    .    .    6    1.5 27  
0874436 3970/0200 3 F    T6-no      0    3    1.5  8.5  .    2    6    .   14.5  2.4 42  
0874596 3661      3 F    T3-ku      2    0    2    .    .    .    .    .   10    .   11  
0883427 3970/1061 2 F    T1-yh      2    3    .   20   17.5  1   17    .   14.5  1   58  
0888225 8750      1 F    T10-yh     3    4.5  3    .    .    3   20   17   31    .   65  
0889136 3970/1000 2 F    T3-ku      2    1    .    .    .    .    .    .    9.5  .   23  
0895994 3970/1006 3 F    T8-no      3    2    1.5 16.5  .    2   12.5 10    .    2.4 50  
0896054 3970/1000 1 F    T8-no     .    0    .    .    .    .    .    .    .    .    .  
0896443 3400      1 F    T9-ko      3    5    2.5 19    .    3    8.5  .   13.5  2.4 53  
0896952 3970/0100 2 F    T8-no      2.5  1    1.5  .    .    .    .    .    5    .    7  
1100066 3400      1 F    T4-ko      3    5    3   19   15.5  3    8.5 18   29    2.4 73  
1101576 3971      2 FS   T3-ku      2.5  3    3   20    8    2.5 12    5   22    2.4 68  
1101642 3970/1061 1 F    T10-yh     3    4    3   20   17    3   15.5 13   10.5  3   65  
1105149 3970/6806 2 F    T8-no      2.5  2    2   19.5 18.5  3   16.5  7.5  8.5  2.4 56  
1107111 3971      2 FS   T1-yh      2    3    2.5 17.5  8    2.5 19   11.5 19.5  2.5 66  
1107692 3970/1061 2 F    T1-yh      2    3    2   18.5 14.5  2.5 18    9   18    3   56  
1109227 3971      2 FS   T1-yh      2    5    3   20   19    3   14   19.5 43.5  2   95  
1110118 3971      2 FS   T9-ko      3    5    3   18   18.5  3   18   15   32    2.4 79  
1112032 3484      2 F    T3-ku      3    2    3   20   18    2.5 20   14   34.5  2.4 79  
1112388 3484      2 F    T7-ko      2.5  5    1    8    7.5  3    .    .   15    .   56  
1112594 3970/6806 2 F    T4-ko      .    0    2.5  .   16    .   10.5  .   18    .   54  
1113047 3400      2 F    T8-no      2.5  3    1   19    .    .    .    .   19    .   26  
1117786 3970/6806 2 F    T10-yh     3    3    3   20    6    2.5 19.5  9.5 16    2.5 54  
1120310 3970/1061 2 F    T2-no      2.5  1    .    .    .    .    .    .    0.6  .    2  
1121651 3970/1061 2 F    T10-yh     2.5  4    2.5 18.5 15    2.5 15.5 15   15    3   63  
1124464 3971      2 FS   T6-no      3    4    3    8.5  6.5  1.5 16.5 12   23.5  2.4 68  
1125617 3970/1061 2 F    T3-ku      2    2    2   20   10    2.5 16   10   10    2.4 63  
1126742 3971      2 FS   T1-yh      2    3    2   17.5 18.5  2   11    .   21    2.5 68  
1127293 3971      2 F    T1-yh      2    4    2   17.5 17.5  2.5 14.5  9   26.5  1.5 77  
1128052 3971      2 FS   T9-ko      3    4    2   19   17.5  2   15   19   43    2.4 88  
1128397 3971      2 FS   T4-ko      3    2    2.5 18   17    3    9   11   36    2.4 76  
1129253 3971      2 FS   T9-ko      2.5  5    3   20    7    3   10   19   40    2.4 86  
1129547 3971      2 FS   T8-no      2.5  4    2   19   16    2.5 15   15   23    2.4 70  
1129768 3971      2 FS   T5-ku      2    2    .    9    .    2.5  5.5  7   28.6  2.4 60  
1129997 3971      2 FS   T10-yh     3    4.5  3   19.5  .    2    .    .   19.5  .   64  
1131902 3971      2 FS   T9-ko      .    4    3   15    6.5  3    8.5 17   29    2.4 70  
1132025 3971      2 FS   T9-ko      3    4    2.5 17   15.5  3    5   18   35    .   80  
1132173 3971      2 FS   T4-ko      3    4    2.5 17    .    .    .    .   22    .   56  
1132238 3971      2 FS   T9-ko      3    4    3   20   19    3   15   18   40    2.4 89  
2103673 6310      0 F    T2-no      .    2    2    8    5    2    3    9    6.5  2.4 50  
8111648 3970/1000 2 F    T8-no      2.5  0    1.5 19.5  5.5  1.5 12.5  .   29    2.4 58  
8126247 3484      3 F    T9-ko      3    5    3   18   20    3   20   18   24    2.4 79  
8126809 3400      1 F    ?          .    .    .    .    .    .    .    .    .    .    .  
8130182 3420      3 F    ?          .    .    .    .    .    .    .    .    .    .    .  
8130678 3420      1 F    T2-no      3    2    2.5 18.5 18.5  0   13   15    8.2  2.4 32  

